TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT1G02280,TOC33 (TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 33); GTP binding / GTPase/ protein binding,Bo5g002990,,-,Bo8g117530
AT1G02290,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02300,cathepsin B-like cysteine protease putative,-,,-,-
AT1G02305,cathepsin B-like cysteine protease putative,na ,,na ,na 
AT1G02310,glycosyl hydrolase family protein 5 / cellulase family protein / (1-4)-beta-mannan endohydrolase putative,Bo5g003010,,-,-
AT1G02320,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02330,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756); Has 1111 Blast hits to 862 proteins in 155 species: Archae - 2; Bacteria - 54; Metazoa - 381; Fungi - 93; Plants - 45; Viruses - 5; Other Eukaryotes - 531 (source: NCBI BLink).,Bo5g003020,,-,-
AT1G02335,GL22 (GERMIN-LIKE PROTEIN SUBFAMILY 2 MEMBER 2 PRECURSOR.); manganese ion binding / nutrient reservoir,na ,,na ,na 
AT1G02340,HFR1 (LONG HYPOCOTYL IN FAR-RED); DNA binding / protein binding / transcription factor,na ,,na ,na 
AT1G02350,protoporphyrinogen oxidase-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02360,chitinase putative,Bo5g003080,,-,-
AT1G02370,pentatricopeptide (PPR) repeat-containing protein,Bo5g003100,,-,-
AT1G02380,unknown protein,Bo5g003110,,-,Bo8g117490
AT1G02390,GPAT2 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 2); acyltransferase,Bo5g003130,,-,-
AT1G02391,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02400,GA2OX6 (GIBBERELLIN 2-OXIDASE 6); gibberellin 2-beta-dioxygenase,Bo5g003140,,-,-
AT1G02405,proline-rich family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02410,cytochrome c oxidase assembly protein CtaG / Cox11 family,Bo5g003150,,-,Bo8g117470
AT1G02420,pentatricopeptide (PPR) repeat-containing protein,-,,-,-
AT1G02430,ATARFD1B (ADP-ribosylation factor D1B); GTP binding,Bo5g003170,,-,Bo8g117460
AT1G02440,ATARFD1A (ADP-ribosylation factor D1A); GTP binding,na ,,na ,na 
AT1G02450,NIMIN1 (NIM1-INTERACTING 1); protein binding,Bo5g003160;Bo5g003180,,-,Bo8g117450
AT1G02460,glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein,Bo5g003190,,-,Bo8g117430
AT1G02470,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 4 anthesis C globular stage petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Streptomyces cyclase/dehydrase (InterPro:IPR005031); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G02475.1); Has 273 Blast hits to 273 proteins in 85 species: Archae - 0; Bacteria - 160; Metazoa - 0; Fungi - 0; Plants - 29; Viruses - 0; Other Eukaryotes - 84 (source: NCBI BLink).,Bo5g003200,,-,Bo8g117420
AT1G02475,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Streptomyces cyclase/dehydrase (InterPro:IPR005031); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G01883.1); Has 350 Blast hits to 350 proteins in 105 species: Archae - 0; Bacteria - 211; Metazoa - 0; Fungi - 0; Plants - 29; Viruses - 0; Other Eukaryotes - 110 (source: NCBI BLink).,na ,,na ,na 
AT1G02480,pre-tRNA,na ,,na ,na 
AT1G02490,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02500,SAM1 (S-ADENOSYLMETHIONINE SYNTHETASE 1); methionine adenosyltransferase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02510,TPK4; outward rectifier potassium channel,-,,-,-
AT1G02520,PGP11 (P-GLYCOPROTEIN 11); ATPase coupled to transmembrane movement of substances,Bo5g003210,,-,-
AT1G02530,PGP12 (P-GLYCOPROTEIN 12); ATPase coupled to transmembrane movement of substances,na ,,na ,na 
AT1G02540,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02550,invertase/pectin methylesterase inhibitor family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02560,CLPP5 (NUCLEAR ENCODED CLP PROTEASE 5); serine-type endopeptidase,Bo5g003220,,-,-
AT1G02570,unknown protein,Bo5g003230,,-,-
AT1G02580,MEA (MEDEA); sequence-specific DNA binding / transcription factor,Bo5g003240,,-,Bo8g117380
AT1G02590,aldehyde oxidase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02600,pre-tRNA,na ,,na ,na 
AT1G02610,zinc finger (C3HC4-type RING finger) family protein,Bo5g003250,,Bo8g001000,-
AT1G02620,GTP-binding protein (SAR1A),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02630,equilibrative nucleoside transporter putative (ENT8),Bo5g003270;Bo5g003280,,Bo8g001020,-
AT1G02640,BXL2 (BETA-XYLOSIDASE 2); hydrolase hydrolyzing O-glycosyl compounds,Bo5g003290,,-,-
AT1G02650,DNAJ heat shock N-terminal domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02660,lipase class 3 family protein,-,,Bo8g001030,Bo8g117370
AT1G02670,DNA repair protein putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02680,TAF13 (TBP-ASSOCIATED FACTOR 13); DNA binding / RNA polymerase II transcription factor,Bo5g003300,,Bo8g001080,-
AT1G02681,Pseudogene of AT4G02160,na ,,na ,na 
AT1G02690,IMPA-6 (IMPORTIN ALPHA ISOFORM 6); binding / protein transporter,na ,,na ,na 
AT1G02700,unknown protein,na ,,na ,na 
AT1G02710,glycine-rich protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02720,GATL5 (GALACTURONOSYLTRANSFERASE 5); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase transferring glycosyl groups / transferase transferring hexosyl groups,-,,-,Bo8g117350
AT1G02730,ATCSLD5; 14-beta-D-xylan synthase/ cellulose synthase,Bo5g003350,,-,-
AT1G02740,chromatin binding,-,,-,Bo8g117340
AT1G02750,zinc ion binding,Bo5g003360,,-,Bo8g117330
AT1G02760,pre-tRNA,na ,,na ,na 
AT1G02770,unknown protein,-,,-,-
AT1G02780,emb2386 (embryo defective 2386); structural constituent of ribosome,Bo5g003370,,Bo8g001100,Bo8g117320
AT1G02790,PGA4 (POLYGALACTURONASE 4); polygalacturonase,Bo5g003380,,Bo8g001120,Bo8g117310
AT1G02800,ATCEL2; cellulase/ hydrolase hydrolyzing O-glycosyl compounds,-,,-,Bo8g117290
AT1G02810,pectinesterase family protein,na ,,na ,na 
AT1G02813,unknown protein,na ,,na ,na 
AT1G02816,unknown protein,na ,,na ,na 
AT1G02820,late embryogenesis abundant 3 family protein / LEA3 family protein,na ,,na ,na 
AT1G02830,60S ribosomal protein L22 (RPL22A),na ,,na ,na 
AT1G02840,SR1; RNA binding / nucleic acid binding / nucleotide binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02850,BGLU11 (BETA GLUCOSIDASE 11); catalytic/ cation binding / hydrolase hydrolyzing O-glycosyl compounds,Bo5g003420,,-,-
AT1G02860,NLA (nitrogen limitation adaptation); ubiquitin-protein ligase,Bo5g003430,,-,Bo8g117260
AT1G02870,unknown protein,Bo5g003440,,Bo8g001170,-
AT1G02880,TPK1 (THIAMIN PYROPHOSPHOKINASE1); thiamin diphosphokinase,na ,,na ,na 
AT1G02890,AAA-type ATPase family protein,na ,,na ,na 
AT1G02900,RALF1 (RAPID ALKALINIZATION FACTOR 1); signal transducer,Bo5g003500,,Bo8g001200,-
AT1G02910,LPA1 (LOW PSII ACCUMULATION1); binding,-,,Bo8g001210,-
AT1G02920,GSTF7; copper ion binding / glutathione binding / glutathione transferase,Bo5g003510,,Bo8g001220,Bo8g117250
AT1G02930,ATGSTF6 (GLUTATHIONE S-TRANSFERASE); copper ion binding / glutathione binding / glutathione transferase,na ,,na ,na 
AT1G02940,GSTF5 (GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5); glutathione transferase,na ,,na ,na 
AT1G02950,ATGSTF4 (GLUTATHIONE S-TRANSFERASE F4); glutathione transferase,na ,,na ,na 
AT1G02952,other RNA,na ,,na ,na 
AT1G02960,unknown protein,-,,Bo8g001230,-
AT1G02965,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G02970,WEE1 (ARABIDOPSIS WEE1 KINASE HOMOLOG); kinase/ protein kinase,-,,Bo8g001240;Bo8g001260,Bo8g117240
AT1G02980,CUL2 (CULLIN 2); ubiquitin protein ligase binding,Bo5g003530,,-,Bo8g117230
AT1G02990,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: zinc ion binding (TAIR:AT3G62900.1); Has 5176 Blast hits to 3822 proteins in 317 species: Archae - 10; Bacteria - 289; Metazoa - 2234; Fungi - 277; Plants - 207; Viruses - 11; Other Eukaryotes - 2148 (source: NCBI BLink).,na ,,na ,na 
AT1G03000,PEX6 (PEROXIN 6); ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding,na ,,na ,na 
AT1G03010,phototropic-responsive NPH3 family protein,Bo5g003560,,-,Bo8g117200
AT1G03020,glutaredoxin family protein,Bo5g003570,,-,Bo8g117190
AT1G03022,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03030,phosphoribulokinase/uridine kinase family protein,-,,-,-
AT1G03040,basic helix-loop-helix (bHLH) family protein,Bo5g003580,,-,-
AT1G03050,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related,na ,,na ,na 
AT1G03055,unknown protein,-,,-,Bo8g117140
AT1G03060,WD-40 repeat family protein / beige-related,Bo5g003600,,-,Bo8g117130
AT1G03070,glutamate binding,-,,-,-
AT1G03080,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR009053) KIP1-like (InterPro:IPR011684); BEST Arabidopsis thaliana protein match is: kinase interacting family protein (TAIR:AT3G22790.1); Has 169162 Blast hits to 69460 proteins in 2232 species: Archae - 2114; Bacteria - 24914; Metazoa - 82448; Fungi - 11850; Plants - 6375; Viruses - 760; Other Eukaryotes - 40701 (source: NCBI BLink).,Bo5g003610,,-,Bo8g117120
AT1G03090,MCCA; methylcrotonoyl-CoA carboxylase,na ,,na ,na 
AT1G03100,pentatricopeptide (PPR) repeat-containing protein,Bo5g003620,,-,-
AT1G03103,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03106,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03110,transducin family protein / WD-40 repeat family protein,na ,,na ,na 
AT1G03120,ATRAB28,Bo5g003640,,-,-
AT1G03130,PSAD-2 (photosystem I subunit D-2),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03140,splicing factor Prp18 family protein,-,,-,Bo8g116100
AT1G03150,GCN5-related N-acetyltransferase (GNAT) family protein,Bo5g003660,,-,-
AT1G03160,FZL (FZO-LIKE); GTP binding / GTPase/ thiamin-phosphate diphosphorylase,-,,Bo8g001280,-
AT1G03170,unknown protein,Bo5g003670,,Bo8g001290,-
AT1G03180,unknown protein,na ,,na ,na 
